"subject";"activity";"domain";"instrument";"signal";"jerk";"magnitude";"measure";"count";"avg"
1;"laying";"Frequency";"Accelerometer";"Body";NA;NA;"Mean";150;-0.896277044593333
1;"laying";"Frequency";"Accelerometer";"Body";NA;NA;"SD";150;-0.856984850046667
1;"laying";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"Mean";50;-0.8617676481
1;"laying";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"SD";50;-0.7983009404
1;"laying";"Frequency";"Accelerometer";"Body";"Jerk";NA;"Mean";150;-0.942532465933333
1;"laying";"Frequency";"Accelerometer";"Body";"Jerk";NA;"SD";150;-0.9523218554
1;"laying";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";50;-0.9333003608
1;"laying";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";50;-0.9218039756
1;"laying";"Frequency";"Gyroscope";NA;NA;NA;"Mean";150;-0.903914463462
1;"laying";"Frequency";"Gyroscope";NA;NA;NA;"SD";150;-0.916703669466667
1;"laying";"Frequency";"Gyroscope";NA;NA;"Magnitude";"Mean";50;-0.8621901854
1;"laying";"Frequency";"Gyroscope";NA;NA;"Magnitude";"SD";50;-0.82431943968
1;"laying";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";50;-0.9423669466
1;"laying";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"SD";50;-0.9326606676
1;"laying";"Time";"Accelerometer";"Body";NA;NA;"Mean";150;0.0226269123102
1;"laying";"Time";"Accelerometer";"Body";NA;NA;"SD";150;-0.863648425482667
1;"laying";"Time";"Accelerometer";"Body";NA;"Magnitude";"Mean";50;-0.8419291525
1;"laying";"Time";"Accelerometer";"Body";NA;"Magnitude";"SD";50;-0.79514486386
1;"laying";"Time";"Accelerometer";"Body";"Jerk";NA;"Mean";150;0.0319196581899333
1;"laying";"Time";"Accelerometer";"Body";"Jerk";NA;"SD";150;-0.945828832133333
1;"laying";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";50;-0.9543962646
1;"laying";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";50;-0.9282456284
1;"laying";"Time";"Accelerometer";"Gravity";NA;NA;"Mean";150;0.300828564993333
1;"laying";"Time";"Accelerometer";"Gravity";NA;NA;"SD";150;-0.885638771793333
1;"laying";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"Mean";50;-0.8419291525
1;"laying";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"SD";50;-0.79514486386
1;"laying";"Time";"Gyroscope";NA;NA;NA;"Mean";150;0.0225500727313333
1;"laying";"Time";"Gyroscope";NA;NA;NA;"SD";150;-0.910972990206667
1;"laying";"Time";"Gyroscope";NA;NA;"Magnitude";"Mean";50;-0.874759548
1;"laying";"Time";"Gyroscope";NA;NA;"Magnitude";"SD";50;-0.81901016976
1;"laying";"Time";"Gyroscope";NA;"Jerk";NA;"Mean";150;-0.074279452394
1;"laying";"Time";"Gyroscope";NA;"Jerk";NA;"SD";150;-0.948101974666667
1;"laying";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";50;-0.96346103
1;"laying";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"SD";50;-0.9358409828
1;"sitting";"Frequency";"Accelerometer";"Body";NA;NA;"Mean";141;-0.960970226099291
1;"sitting";"Frequency";"Accelerometer";"Body";NA;NA;"SD";141;-0.942718959219858
1;"sitting";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"Mean";47;-0.947782922553192
1;"sitting";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"SD";47;-0.928444801702128
1;"sitting";"Frequency";"Accelerometer";"Body";"Jerk";NA;"Mean";141;-0.984743193971631
1;"sitting";"Frequency";"Accelerometer";"Body";"Jerk";NA;"SD";141;-0.986115362978723
1;"sitting";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";47;-0.985262126808511
1;"sitting";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";47;-0.981606177446808
1;"sitting";"Frequency";"Gyroscope";NA;NA;NA;"Mean";141;-0.967771864609929
1;"sitting";"Frequency";"Gyroscope";NA;NA;NA;"SD";141;-0.961389036879433
1;"sitting";"Frequency";"Gyroscope";NA;NA;"Magnitude";"Mean";47;-0.958435589361702
1;"sitting";"Frequency";"Gyroscope";NA;NA;"Magnitude";"SD";47;-0.932198374893617
1;"sitting";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";47;-0.989797547234043
1;"sitting";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"SD";47;-0.987049617234042
1;"sitting";"Time";"Accelerometer";"Body";NA;NA;"Mean";141;0.0517950318395035
1;"sitting";"Time";"Accelerometer";"Body";NA;NA;"SD";141;-0.946477980425532
1;"sitting";"Time";"Accelerometer";"Body";NA;"Magnitude";"Mean";47;-0.948536786170213
1;"sitting";"Time";"Accelerometer";"Body";NA;"Magnitude";"SD";47;-0.927078418723404
1;"sitting";"Time";"Accelerometer";"Body";"Jerk";NA;"Mean";141;0.0244985416073759
1;"sitting";"Time";"Accelerometer";"Body";"Jerk";NA;"SD";141;-0.985237827021277
1;"sitting";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";47;-0.987364195531915
1;"sitting";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";47;-0.984120024042553
1;"sitting";"Time";"Accelerometer";"Gravity";NA;NA;"Mean";141;0.455988409617021
1;"sitting";"Time";"Accelerometer";"Gravity";NA;NA;"SD";141;-0.951005044964539
1;"sitting";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"Mean";47;-0.948536786170213
1;"sitting";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"SD";47;-0.927078418723404
1;"sitting";"Time";"Gyroscope";NA;NA;NA;"Mean";141;-0.0247809434191489
1;"sitting";"Time";"Gyroscope";NA;NA;NA;"SD";141;-0.961703699787234
1;"sitting";"Time";"Gyroscope";NA;NA;"Magnitude";"Mean";47;-0.93089249
1;"sitting";"Time";"Gyroscope";NA;NA;"Magnitude";"SD";47;-0.934531840425532
1;"sitting";"Time";"Gyroscope";NA;"Jerk";NA;"Mean";141;-0.0601979400496454
1;"sitting";"Time";"Gyroscope";NA;"Jerk";NA;"SD";141;-0.989728489007092
1;"sitting";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";47;-0.991976341276596
1;"sitting";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"SD";47;-0.988308728510638
1;"standing";"Frequency";"Accelerometer";"Body";NA;NA;"Mean";159;-0.985872626352201
1;"standing";"Frequency";"Accelerometer";"Body";NA;NA;"SD";159;-0.982086235597484
1;"standing";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"Mean";53;-0.985356361132075
1;"standing";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"SD";53;-0.982313804716981
1;"standing";"Frequency";"Accelerometer";"Body";"Jerk";NA;"Mean";159;-0.990267222641509
1;"standing";"Frequency";"Accelerometer";"Body";"Jerk";NA;"SD";159;-0.991480601383648
1;"standing";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";53;-0.99254247754717
1;"standing";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";53;-0.992536003396226
1;"standing";"Frequency";"Gyroscope";NA;NA;NA;"Mean";159;-0.98538145490566
1;"standing";"Frequency";"Gyroscope";NA;NA;NA;"SD";159;-0.985650062138365
1;"standing";"Frequency";"Gyroscope";NA;NA;"Magnitude";"Mean";53;-0.984617623396226
1;"standing";"Frequency";"Gyroscope";NA;NA;"Magnitude";"SD";53;-0.978466072075472
1;"standing";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";53;-0.994815376981132
1;"standing";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"SD";53;-0.994671123207547
1;"standing";"Time";"Accelerometer";"Body";NA;NA;"Mean";159;0.0507260737389937
1;"standing";"Time";"Accelerometer";"Body";NA;NA;"SD";159;-0.98290861163522
1;"standing";"Time";"Accelerometer";"Body";NA;"Magnitude";"Mean";53;-0.98427820735849
1;"standing";"Time";"Accelerometer";"Body";NA;"Magnitude";"SD";53;-0.981942928867925
1;"standing";"Time";"Accelerometer";"Body";"Jerk";NA;"Mean";159;0.0265557118692075
1;"standing";"Time";"Accelerometer";"Body";"Jerk";NA;"SD";159;-0.99083481735849
1;"standing";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";53;-0.992367790566038
1;"standing";"Time";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";53;-0.993096209433962
1;"standing";"Time";"Accelerometer";"Gravity";NA;NA;"Mean";159;0.227819583478616
1;"standing";"Time";"Accelerometer";"Gravity";NA;NA;"SD";159;-0.983771002201258
1;"standing";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"Mean";53;-0.98427820735849
1;"standing";"Time";"Accelerometer";"Gravity";NA;"Magnitude";"SD";53;-0.981942928867925
1;"standing";"Time";"Gyroscope";NA;NA;NA;"Mean";159;-0.00286140159301887
1;"standing";"Time";"Gyroscope";NA;NA;NA;"SD";159;-0.985190671194969
1;"standing";"Time";"Gyroscope";NA;NA;"Magnitude";"Mean";53;-0.976493792830189
1;"standing";"Time";"Gyroscope";NA;NA;"Magnitude";"SD";53;-0.978690028679245
1;"standing";"Time";"Gyroscope";NA;"Jerk";NA;"Mean";159;-0.0642075157899371
1;"standing";"Time";"Gyroscope";NA;"Jerk";NA;"SD";159;-0.993397163836478
1;"standing";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";53;-0.994966790566038
1;"standing";"Time";"Gyroscope";NA;"Jerk";"Magnitude";"SD";53;-0.994733238679245
1;"walking";"Frequency";"Accelerometer";"Body";NA;NA;"Mean";285;-0.148213899237895
1;"walking";"Frequency";"Accelerometer";"Body";NA;NA;"SD";285;-0.180927154742561
1;"walking";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"Mean";95;-0.128623450629474
1;"walking";"Frequency";"Accelerometer";"Body";NA;"Magnitude";"SD";95;-0.398032586842105
1;"walking";"Frequency";"Accelerometer";"Body";"Jerk";NA;"Mean";285;-0.224923904431407
1;"walking";"Frequency";"Accelerometer";"Body";"Jerk";NA;"SD";285;-0.187186729870456
1;"walking";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"Mean";95;-0.0571194000343158
1;"walking";"Frequency";"Accelerometer";"Body";"Jerk";"Magnitude";"SD";95;-0.103492403002105
1;"walking";"Frequency";"Gyroscope";NA;NA;NA;"Mean";285;-0.232677517955439
1;"walking";"Frequency";"Gyroscope";NA;NA;NA;"SD";285;-0.328920775332982
1;"walking";"Frequency";"Gyroscope";NA;NA;"Magnitude";"Mean";95;-0.199252568986316
1;"walking";"Frequency";"Gyroscope";NA;NA;"Magnitude";"SD";95;-0.321017953894737
1;"walking";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"Mean";95;-0.319308593778947
1;"walking";"Frequency";"Gyroscope";NA;"Jerk";"Magnitude";"SD";95;-0.381601911789474
1;"walking";"Time";"Accelerometer";"Body";NA;NA;"Mean";285;0.0495996122207018
1;"walking";"Time";"Accelerometer";"Body";NA;NA;"SD";285;-0.143102274768421
1;"walking";"Time";"Accelerometer";"Body";NA;"Magnitude";"Mean";95;-0.136971176556842
1;"walking";"Time";"Accelerometer";"Body";NA;"Magnitude";"SD";95;-0.219688645631579
